FIPS,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,
51099,King George County,VA,43.7,11715,
36119,Westchester County,NY,71.3,689608,
19043,Clayton County,IA,45,7891,
48007,Aransas County,TX,52.2,12274,
18011,Boone County,IN,64.3,43644,
26057,Gratiot County,MI,42.4,17275,
55003,Ashland County,WI,63.6,9890,
28057,Itawamba County,MS,32.3,7547,
16035,Clearwater County,ID,38.1,3337,
51165,Rockingham County,VA,41.1,33677,
35007,Colfax County,NM,57.2,6833,
48385,Real County,TX,46.3,1597,
20145,Pawnee County,KS,49.2,3156,
51069,Frederick County,VA,44.9,40063,
5083,Logan County,AR,42.7,9157,
29205,Shelby County,MO,44.3,2626,
40099,Murray County,OK,41.5,5846,
20101,Lane County,KS,39,599,
39037,Darke County,OH,36,18414,
17113,McLean County,IL,57.6,98709,
16047,Gooding County,ID,36.6,5557,
2070,Dillingham Census Area,AK,45.1,2219,
13211,Morgan County,GA,24,4630,
13195,Madison County,GA,23.3,6953,
25027,Worcester County,MA,62.3,517792,
9011,New London County,CT,72.3,191624,
20071,Greeley County,KS,47.9,590,
47045,Dyer County,TN,36.6,13618,
18065,Henry County,IN,48.5,23260,
13255,Spalding County,GA,17.3,11572,
12003,Baker County,FL,31.8,9283,
19143,Osceola County,IA,42.3,2518,
30061,Mineral County,MT,49.6,2183,
51199,York County,VA,53.2,36333,
5117,Prairie County,AR,39.4,3180,
29033,Carroll County,MO,46,3993,
4007,Gila County,AZ,53.3,28773,
42079,Luzerne County,PA,58.8,186646,
55121,Trempealeau County,WI,60,17775,
1043,Cullman County,AL,35.4,29694,
8113,San Miguel County,CO,75.4,6168,
26011,Arenac County,MI,48.2,7177,
48455,Trinity County,TX,36.4,5333,
19165,Shelby County,IA,55.2,6324,
51155,Pulaski County,VA,41.3,14055,
21103,Henry County,KY,49,7897,
29157,Perry County,MO,36.9,7062,
26041,Delta County,MI,58.4,20882,
38019,Cavalier County,ND,55.9,2102,
36109,Tompkins County,NY,72,73558,
55061,Kewaunee County,WI,48,9802,
45041,Florence County,SC,49.6,68657,
22091,St. Helena Parish,LA,28.1,2846,
17201,Winnebago County,IL,51.8,146409,
40149,Washita County,OK,36,3930,
42065,Jefferson County,PA,46.5,20200,
51840,Winchester city,VA,41.2,11571,
42037,Columbia County,PA,58.7,38151,
31033,Cheyenne County,NE,39.2,3496,
16051,Jefferson County,ID,34.3,10255,
48039,Brazoria County,TX,52.3,195863,
13081,Crisp County,GA,19.6,4379,
20189,Stevens County,KS,32.7,1793,
13143,Haralson County,GA,15.7,4680,
2164,Lake and Peninsula Borough,AK,51.8,824,
21139,Livingston County,KY,45.7,4202,
UNK,Unknown County,IL,0,165743,
37071,Gaston County,NC,45.6,102333,
42097,Northumberland County,PA,56.5,51319,
49037,San Juan County,UT,53.5,8192,
35045,San Juan County,NM,63.5,78734,
47041,DeKalb County,TN,37.8,7754,
49007,Carbon County,UT,42.9,8785,
45005,Allendale County,SC,53.2,4622,
6075,San Francisco County,CA,75.7,667514,
6003,Alpine County,CA,0,0,
15003,Honolulu County,HI,0,0,
41047,Marion County,OR,57.4,199805,
20137,Norton County,KS,49.2,2640,
18153,Sullivan County,IN,46.2,9539,
31175,Valley County,NE,30.3,1258,
39109,Miami County,OH,43.5,46573,
21183,Ohio County,KY,36.4,8742,
30083,Richland County,MT,36.5,3943,
40011,Blaine County,OK,42.9,4042,
47173,Union County,TN,32.3,6441,
6067,Sacramento County,CA,59.4,921407,
53021,Franklin County,WA,46.2,44014,
29135,Moniteau County,MO,33.5,5411,
12113,Santa Rosa County,FL,46.1,84964,
48465,Val Verde County,TX,58.9,28895,
42093,Montour County,PA,72.8,13277,
21113,Jessamine County,KY,48.6,26282,
48353,Nolan County,TX,38.8,5702,
32029,Storey County,NV,19,783,
28031,Covington County,MS,46.1,8584,
72061,Guaynabo Municipio,PR,82.6,69161,
21069,Fleming County,KY,46.8,6823,
38101,Ward County,ND,41.5,28069,
47185,White County,TN,39.6,10816,
27015,Brown County,MN,60.5,15131,
5045,Faulkner County,AR,44.2,55723,
20027,Clay County,KS,52.9,4232,
19049,Dallas County,IA,59.1,55201,
6065,Riverside County,CA,52,1284186,
19081,Hancock County,IA,46.1,4899,
38057,Mercer County,ND,35.9,2937,
72091,Manati Municipio,PR,71.8,26770,
6027,Inyo County,CA,0,0,
53037,Kittitas County,WA,49.8,23886,
13149,Heard County,GA,14.4,1717,
54067,Nicholas County,WV,30.7,7509,
40097,Mayes County,OK,39.2,16122,
45007,Anderson County,SC,37.1,75156,
23011,Kennebec County,ME,64.6,79054,
21119,Knott County,KY,44.5,6585,
33005,Cheshire County,NH,57.6,43817,
8095,Phillips County,CO,47.1,2008,
6039,Madera County,CA,46.7,73463,
8001,Adams County,CO,60.4,312546,
5073,Lafayette County,AR,38.6,2556,
18041,Fayette County,IN,36.3,8396,
1121,Talladega County,AL,33.6,26844,
29039,Cedar County,MO,30,4304,
31147,Richardson County,NE,47.2,3715,
UNK,Unknown County,MO,0,273610,
8003,Alamosa County,CO,50.7,8231,
47069,Hardeman County,TN,41.8,10465,
18097,Marion County,IN,50.7,489221,
8089,Otero County,CO,43.9,8016,
21005,Anderson County,KY,50.3,11437,
5097,Montgomery County,AR,34.3,3080,
13111,Fannin County,GA,21.8,5711,
19047,Crawford County,IA,49.7,8364,
UNK,Unknown County,NE,0,111945,
54081,Raleigh County,WV,22,16133,
72003,Aguada Municipio,PR,66,24233,
72053,Fajardo Municipio,PR,70.5,20771,
20081,Haskell County,KS,35.2,1396,
2188,Northwest Arctic Borough,AK,52,3962,
27035,Crow Wing County,MN,52,33845,
19145,Page County,IA,49.2,7437,
49001,Beaver County,UT,42.1,2822,
46007,Bennett County,SD,47.7,1605,
42009,Bedford County,PA,35.5,16980,
1017,Chambers County,AL,28.6,9503,
51047,Culpeper County,VA,43.7,22968,
31071,Garfield County,NE,27.7,546,
29081,Harrison County,MO,31,2590,
54011,Cabell County,WV,22.5,20715,
46093,Meade County,SD,50,14178,
26153,Schoolcraft County,MI,52.8,4270,
39153,Summit County,OH,57.1,309115,
23025,Somerset County,ME,56.4,28492,
13127,Glynn County,GA,45.8,39050,
36097,Schuyler County,NY,57.8,10298,
26077,Kalamazoo County,MI,56.8,150475,
38063,Nelson County,ND,64.7,1862,
72049,Culebra Municipio,PR,93.3,1599,
72001,Adjuntas Municipio,PR,67.9,11782,
55011,Buffalo County,WI,46.4,6048,
5063,Independence County,AR,36.8,13910,
29087,Holt County,MO,38.5,1695,
38041,Hettinger County,ND,36.3,906,
13141,Hancock County,GA,15.1,1275,
39163,Vinton County,OH,36.2,4732,
UNK,Unknown County,NV,0,85148,
51143,Pittsylvania County,VA,39.5,23866,
29209,Stone County,MO,35.6,11361,
55031,Douglas County,WI,39.4,17019,
4023,Santa Cruz County,AZ,92.4,42985,
20139,Osage County,KS,46.6,7425,
19127,Marshall County,IA,59.4,23398,
47137,Pickett County,TN,41,2070,
6097,Sonoma County,CA,69.6,344163,
72059,Guayanilla Municipio,PR,73.3,12916,
20085,Jackson County,KS,58,7636,
19103,Johnson County,IA,65.5,98989,
8011,Bent County,CO,24.1,1343,
27059,Isanti County,MN,38.6,15674,
51127,New Kent County,VA,48.6,11225,
27139,Scott County,MN,62.2,92639,
30087,Rosebud County,MT,76.3,6815,
16033,Clark County,ID,34.6,292,
5055,Greene County,AR,39.5,17909,
5039,Dallas County,AR,52.4,3673,
18057,Hamilton County,IN,65.1,220205,
17027,Clinton County,IL,52.2,19599,
8105,Rio Grande County,CO,56.8,6404,
21161,Mason County,KY,46.5,7937,
22053,Jefferson Davis Parish,LA,33.8,10592,
19139,Muscatine County,IA,55.1,23488,
53043,Lincoln County,WA,49.4,5399,
29075,Gentry County,MO,40.2,2640,
22095,St. John the Baptist Parish,LA,53.2,22780,
48345,Motley County,TX,25.2,302,
31135,Perkins County,NE,37,1071,
36043,Herkimer County,NY,54.1,33169,
5011,Bradley County,AR,52.1,5607,
42087,Mifflin County,PA,50,23075,
39139,Richland County,OH,40.1,48540,
46099,Minnehaha County,SD,58.7,113306,
16015,Boise County,ID,29.4,2306,
38095,Towner County,ND,43.5,953,
47097,Lauderdale County,TN,34.5,8848,
48313,Madison County,TX,36.7,5240,
29091,Howell County,MO,30.1,12083,
39123,Ottawa County,OH,57,23116,
36023,Cortland County,NY,54.3,25845,
19161,Sac County,IA,49.3,4796,
47171,Unicoi County,TN,50.1,8967,
51690,Martinsville city,VA,39.1,4913,
5127,Scott County,AR,43.8,4499,
12007,Bradford County,FL,39,10996,
18177,Wayne County,IN,45.3,29824,
13165,Jenkins County,GA,23,1993,
UNK,Unknown County,LA,0,73810,
26127,Oceana County,MI,50.4,13340,
34035,Somerset County,NJ,67.8,222975,
18005,Bartholomew County,IN,54.4,45610,
30091,Sheridan County,MT,45.4,1501,
37159,Rowan County,NC,40.1,56972,
55007,Bayfield County,WI,75.5,11359,
48089,Colorado County,TX,47.4,10182,
20129,Morton County,KS,37.3,966,
27131,Rice County,MN,57.7,38634,
51079,Greene County,VA,44.9,8893,
51800,Suffolk city,VA,47,43290,
29173,Ralls County,MO,26.3,2711,
28071,Lafayette County,MS,50.7,27361,
45045,Greenville County,SC,49.6,259883,
20089,Jewell County,KS,42.4,1221,
25009,Essex County,MA,66.1,521498,
42099,Perry County,PA,48.2,22326,
51045,Craig County,VA,31.9,1636,
48031,Blanco County,TX,48.7,5816,
6037,Los Angeles County,CA,63.3,6355696,
51685,Manassas Park city,VA,41.8,7301,
48027,Bell County,TX,53.7,195063,
28131,Stone County,MS,41.4,7589,
34027,Morris County,NJ,70.7,347802,
51121,Montgomery County,VA,43.3,42665,
21129,Lee County,KY,45.9,3395,
34025,Monmouth County,NJ,61.7,381496,
29183,St. Charles County,MO,55.7,223794,
56011,Crook County,WY,26.4,2005,
31141,Platte County,NE,42.2,14117,
13131,Grady County,GA,20.2,4976,
4012,La Paz County,AZ,43.6,9208,
72015,Arroyo Municipio,PR,66.8,11521,
17161,Rock Island County,IL,54.7,77654,
36113,Warren County,NY,71,45406,
48395,Robertson County,TX,40.5,6919,
29159,Pettis County,MO,39.1,16556,
42039,Crawford County,PA,46.7,39496,
51031,Campbell County,VA,38.6,21189,
39041,Delaware County,OH,66.8,139644,
51139,Page County,VA,36,8606,
13159,Jasper County,GA,17,2417,
17151,Pope County,IL,30.5,1274,
39129,Pickaway County,OH,46,26897,
30013,Cascade County,MT,49.4,40224,
30063,Missoula County,MT,59.3,70932,
40057,Harmon County,OK,45.1,1196,
72105,Naranjito Municipio,PR,72.4,19790,
48277,Lamar County,TX,36.1,18005,
39171,Williams County,OH,41.2,15134,
48187,Guadalupe County,TX,49.5,82657,
72125,San German Municipio,PR,69.7,21076,
45089,Williamsburg County,SC,52.2,15840,
6089,Shasta County,CA,44.9,80857,
41027,Hood River County,OR,76.1,17796,
28009,Benton County,MS,46.6,3852,
20063,Gove County,KS,44.9,1184,
48419,Shelby County,TX,32.2,8129,
1009,Blount County,AL,28.5,16502,
13037,Calhoun County,GA,22.7,1404,
UNK,Unknown County,UT,0,44083,
26059,Hillsdale County,MI,35.5,16205,
28091,Marion County,MS,41.7,10245,
31077,Greeley County,NE,37.5,884,
34009,Cape May County,NJ,67.5,62140,
29085,Hickory County,MO,36,3439,
48403,Sabine County,TX,34.6,3648,
29029,Camden County,MO,41.8,19359,
29069,Dunklin County,MO,34.1,9923,
21105,Hickman County,KY,34.1,1495,
72035,Cayey Municipio,PR,74.1,31414,
31155,Saunders County,NE,47.5,10242,
29143,New Madrid County,MO,30.9,5269,
20045,Douglas County,KS,55.5,67841,
48487,Wilbarger County,TX,47.9,6116,
21041,Carroll County,KY,42.3,4495,
56015,Goshen County,WY,35.6,4697,
39043,Erie County,OH,54.6,40562,
39085,Lake County,OH,59.7,137404,
50027,Windsor County,VT,45.7,25166,
53029,Island County,WA,60.3,51380,
47027,Clay County,TN,27.1,2061,
22087,St. Bernard Parish,LA,43.3,20450,
34033,Salem County,NJ,49.3,30763,
42127,Wayne County,PA,59.3,30438,
28087,Lowndes County,MS,46.7,27350,
37109,Lincoln County,NC,44.2,38075,
47169,Trousdale County,TN,33.5,3784,
72081,Lares Municipio,PR,83,20156,
12097,Osceola County,FL,65.3,245367,
13083,Dade County,GA,22,3553,
38073,Ransom County,ND,55,2869,
37155,Robeson County,NC,37.6,49106,
27011,Big Stone County,MN,58.8,2937,
20153,Rawlins County,KS,39.4,998,
5109,Pike County,AR,39.3,4212,
31081,Hamilton County,NE,41.5,3872,
21091,Hancock County,KY,54.7,4773,
9013,Tolland County,CT,61.6,92817,
19059,Dickinson County,IA,54.1,9336,
32017,Lincoln County,NV,35.6,1844,
38059,Morton County,ND,39.6,12430,
40079,Le Flore County,OK,35.6,17732,
54001,Barbour County,WV,7,1158,
49051,Wasatch County,UT,52.5,17910,
21193,Perry County,KY,57.2,14731,
37037,Chatham County,NC,51.3,38174,
51049,Cumberland County,VA,34.7,3444,
